PARID,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESS,PROPERTYCITY,PROPERTYSTATE,PROPERTYUNIT,PROPERTYZIP,MUNICODE,MUNIDESC,SCHOOLCODE,SCHOOLDESC,LEGAL1,LEGAL2,LEGAL3,NEIGHCODE,NEIGHDESC,TAXCODE,TAXDESC,TAXSUBCODE,TAXSUBCODE_DESC,OWNERCODE,OWNERDESC,CLASS,CLASSDESC,USECODE,USEDESC,LOTAREA,HOMESTEADFLAG,FARMSTEADFLAG,CLEANGREEN,ABATEMENTFLAG,RECORDDATE,SALEDATE,SALEPRICE,SALECODE,SALEDESC,DEEDBOOK,DEEDPAGE,PREVSALEDATE,PREVSALEPRICE,PREVSALEDATE2,PREVSALEPRICE2,CHANGENOTICEADDRESS1,CHANGENOTICEADDRESS2,CHANGENOTICEADDRESS3,CHANGENOTICEADDRESS4,COUNTYBUILDING,COUNTYLAND,COUNTYTOTAL,COUNTYEXEMPTBLDG,LOCALBUILDING,LOCALLAND,LOCALTOTAL,FAIRMARKETBUILDING,FAIRMARKETLAND,FAIRMARKETTOTAL,STYLE,STYLEDESC,STORIES,YEARBLT,EXTERIORFINISH,EXTFINISH_DESC,ROOF,ROOFDESC,BASEMENT,BASEMENTDESC,GRADE,GRADEDESC,CONDITION,CONDITIONDESC,CDU,CDUDESC,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,HEATINGCOOLING,HEATINGCOOLINGDESC,FIREPLACES,BSMTGARAGE,FINISHEDLIVINGAREA,CARDNUMBER,ALT_ID,TAXYEAR,ASOFDATE
0001G00104000000,"110"," ","MARKET ST","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","LOT 19.33X60.2","","","51C02","PITTSBURGH URBAN","T","20 - Taxable","","","20","CORPORATION","C","COMMERCIAL","456","PARKING GARAGE/LOTS","2280","","","","","12-30-2016","11-11-2016","10","H","MULTI-PARCEL SA","16656","25","10-16-2009","1","12-26-1990","50000","2020   SMALLMAN ST  STE 301","  ","PITTSBURGH PA  ","15222","1100","91200","92300","0","1100","91200","92300","1100","91200","92300","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001G00106000000,"106"," ","MARKET ST","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","LOT 38.67X60.19","PT EXTINGUISHED ALLEY = 21.75X4X21.75X4","","51C02","PITTSBURGH URBAN","T","20 - Taxable","","","20","CORPORATION","C","COMMERCIAL","405","RETL/OFF OVER","4680","","","","","12-30-2016","11-11-2016","10","H","MULTI-PARCEL SA","16656","25","12-18-1991","210000","","","2020   SMALLMAN ST  STE 301","  ","PITTSBURGH PA  ","15222","114000","187200","301200","0","114000","187200","301200","114000","187200","301200","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001G00107000000,"104"," ","MARKET ST","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","WOODS PLAN PT 226 LOT 20X60.19","PT EXTINGUISHED ALLEY = 20X4X20X4","","51C02","PITTSBURGH URBAN","T","20 - Taxable","","","20","CORPORATION","C","COMMERCIAL","430","RESTAURANT, CAFET AND/OR BAR","2400","","","","","09-03-2004","09-03-2004","344250","H","MULTI-PARCEL SA","12182","537","04-21-2004","67987","04-14-1997","1","131  E MAIN ST   ","  ","CARNEGIE PA  ","15106","0","54000","54000","0","0","54000","54000","0","54000","54000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001G00109000000,"100"," ","MARKET ST","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","LOT 39.99X60.19","PT EXTINGUISHED ALLEY = 4X40X4X40","","51C02","PITTSBURGH URBAN","T","20 - Taxable","","","20","CORPORATION","C","COMMERCIAL","430","RESTAURANT, CAFET AND/OR BAR","4800","","","","","09-03-2004","09-03-2004","344250","H","MULTI-PARCEL SA","12182","537","04-21-2004","67987","04-14-1997","1","131  E MAIN ST   ","  ","CARNEGIE PA  ","15106","423400","192000","615400","0","423400","192000","615400","423400","192000","615400","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001G00111000000,"161"," ","1ST AVE","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","GREGG PLAN OF LOTS","LOT 1 = 33.17X30X33.17X30","","51C01","PITTSBURGH URBAN","T","20 - Taxable","","","20","CORPORATION","R","RESIDENTIAL","010","SINGLE FAMILY","995","","","","","10-14-2015","10-14-2015","1754901","9","OTHER INVALID","16159","425","","","","","10960   WILSHIRE BLVD  FL 5TH","  ","LOS ANGELES CA  ","90024","1587500","27000","1614500","0","1587500","27000","1614500","1587500","27000","1614500","9","TOWNHOUSE","1","1848","2","Brick","4","ROLL","5","Full","X+","EXCELLENT +","1","EXCELLENT","EX","EXCELLENT","5","3","3","1","B","Central Heat with AC","","","2011","1","","2017","01-NOV-17"
0001G00113000000,"103"," ","MARKET ST","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","GREGG PLAN OF LOTS","LOT 3 = 20X70.24X20X70.24","","51C01","PITTSBURGH URBAN","T","20 - Taxable","","","11","REGULAR-ETAL","R","RESIDENTIAL","010","SINGLE FAMILY","1405","","","","","01-05-2017","01-02-2017","1729700","36","QUIT CLAIM / SPEC WARRNTY","16661","258","","","","","103   MARKET ST   ","  ","PITTSBURGH PA  ","15222","799300","168600","967900","0","799300","168600","967900","799300","168600","967900","9","TOWNHOUSE","3","1920","2","Brick","4","ROLL","5","Full","X+","EXCELLENT +","1","EXCELLENT","EX","EXCELLENT","5","2","3","1","B","Central Heat with AC","","3","5060","1","","2017","01-NOV-17"
0001G00114000000,"105"," ","MARKET ST","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","LOT 34.96X70","","","51C02","PITTSBURGH URBAN","T","20 - Taxable","","","20","CORPORATION","C","COMMERCIAL","449","OFFICE-ELEVATOR -3 + STORIES","4900","","","","","08-01-2014","08-01-2014","500000","35","CORP TRANSFER","15687","296","06-01-1998","470000","12-14-1995","225000","2140   WOODLAND RD   ","  ","WARRENDALE PA  ","15086","533000","196000","729000","0","533000","196000","729000","533000","196000","729000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001G00116000000,"109"," ","MARKET ST","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","WOODS PLAN PTS 227-228 LOT 17.93X70.24","","","51C02","PITTSBURGH URBAN","T","20 - Taxable","","","10","REGULAR","C","COMMERCIAL","405","RETL/OFF OVER","2520","","","","","","06-17-1997","1","3","LOVE&AFFECTION","9967","132","","","","","4929   LEONARD ST   ","  ","PITTSBURGH PA  ","15213","99200","100800","200000","0","99200","100800","200000","99200","100800","200000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001G00117000000,"111"," ","MARKET ST","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","LOT 23X70.24","","","51C02","PITTSBURGH URBAN","T","20 - Taxable","","","10","REGULAR","C","COMMERCIAL","406","RETL/STOR OVER","3220","","","","","","09-03-1992","1","3","LOVE&AFFECTION","8802","274","","","","","111   MARKET ST   ","  ","PITTSBURGH PA  ","15222","136200","128800","265000","0","136200","128800","265000","136200","128800","265000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001G00118000000,"113"," ","MARKET ST","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","WOODS PLAN PT 227-228 LOT 34.06X70.24 IN ALL MA","RKET ST S W COR BLVD-ALLIES","","51C02","PITTSBURGH URBAN","T","20 - Taxable","","","20","CORPORATION","C","COMMERCIAL","456","PARKING GARAGE/LOTS","2380","","","","","12-30-2016","11-11-2016","10","H","MULTI-PARCEL SA","16656","25","09-10-2009","1","12-27-1991","50000","2020   SMALLMAN ST  STE 301","  ","PITTSBURGH PA  ","15222","2200","190400","192600","0","2200","190400","192600","2200","190400","192600","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001G00123000000,"0"," ","BLVD OF THE ALLIES ","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","COL WOODS PLAN 231 PT 230 LOT 70.36X80","","","51C02","PITTSBURGH URBAN","T","20 - Taxable","","","20","CORPORATION","C","COMMERCIAL","499","COMM AUX BUILDING","11200","","","","","","12-16-1993","412500","8","OTHER","9120","327","","","","","111   BLVD OF THE ALLIES    ","  ","PITTSBURGH PA  ","15222","4700","448000","452700","0","4700","448000","452700","4700","448000","452700","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001G00125000000,"120"," ","BLVD OF THE ALLIES ","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","LOT 30X80","LOT 35.65X80.20","","51C02","PITTSBURGH URBAN","T","20 - Taxable","","","20","CORPORATION","C","COMMERCIAL","448","OFFICE-WALKUP -3 + STORIES","10560","","","","","09-02-2016","08-31-2016","1400000","36","QUIT CLAIM / SPEC WARRNTY","16524","451","10-30-2009","1350000","06-05-1998","340000","204   FIFTH AVE  STE 404","  ","PITTSBURGH PA  ","15222","836800","422400","1259200","0","836800","422400","1259200","836800","422400","1259200","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
